distance,adult_card_fare_per_ride,adult_cash_fare_per_ride,senior_citizen_card_fare_per_ride,senior_citizen_cash_fare_per_ride,student_card_fare_per_ride,student_cash_fare_per_ride,workfare_transport_concession_card_fare_per_ride,workfare_transport_concession_cash_fare_per_ride,persons_with_disabilities_card_fare_per_ride,persons_with_disabilities_cash_fare_per_ride
Up to 3.2 km,92,170,59,120,42,85,68,170,59,120
3.3 km - 4.2 km,102,190,66,120,47,85,76,190,66,120
4.3 km - 5.2 km,112,190,73,120,52,85,84,190,73,120
5.3 km - 6.2 km,122,190,80,120,57,85,92,190,80,120
6.3 km - 7.2 km,131,210,86,150,60,105,99,210,86,150
7.3 km - 8.2 km,138,210,92,150,63,105,105,210,92,150
8.3 km - 9.2 km,144,210,92,150,63,105,111,210,92,150
9.3 km - 10.2 km,148,230,92,150,63,105,114,230,92,150
10.3 km - 11.2 km,152,230,92,150,63,105,117,230,92,150
11.3 km - 12.2 km,156,250,92,150,63,105,120,250,92,150
12.3 km - 13.2 km,160,250,92,150,63,105,123,250,92,150
13.3 km - 14.2 km,164,250,92,150,63,105,126,250,92,150
14.3 km - 15.2 km,168,250,92,150,63,105,129,250,92,150
15.3 km - 16.2 km,172,260,92,150,63,105,132,260,92,150
16.3 km - 17.2 km,176,260,92,150,63,105,135,260,92,150
17.3 km - 18.2 km,180,260,92,150,63,105,138,260,92,150
18.3 km - 19.2 km,184,260,92,150,63,105,141,260,92,150
19.3 km - 20.2 km,187,270,92,150,63,105,144,270,92,150
20.3 km - 21.2 km,190,270,92,150,63,105,147,270,92,150
21.3 km - 22.2 km,193,270,92,150,63,105,150,270,92,150
22.3 km - 23.2 km,196,270,92,150,63,105,153,270,92,150
23.3 km - 24.2 km,198,280,92,150,63,105,155,280,92,150
24.3 km - 25.2 km,200,280,92,150,63,105,156,280,92,150
25.3 km - 26.2 km,202,280,92,150,63,105,157,280,92,150
26.3 km - 27.2 km,203,280,92,150,63,105,158,280,92,150
27.3 km - 28.2 km,204,280,92,150,63,105,159,280,92,150
28.3 km - 29.2 km,205,280,92,150,63,105,160,280,92,150
29.3 km - 30.2 km,206,280,92,150,63,105,161,280,92,150
30.3 km - 31.2 km,207,280,92,150,63,105,162,280,92,150
31.3 km - 32.2 km,208,280,92,150,63,105,163,280,92,150
32.3 km - 33.2 km,209,280,92,150,63,105,164,280,92,150
33.3 km - 34.2 km,210,280,92,150,63,105,165,280,92,150
34.3 km - 35.2 km,211,280,92,150,63,105,166,280,92,150
35.3 km - 36.2 km,212,280,92,150,63,105,167,280,92,150
36.3 km - 37.2 km,213,280,92,150,63,105,168,280,92,150
37.3 km - 38.2 km,214,280,92,150,63,105,169,280,92,150
38.3 km - 39.2 km,215,280,92,150,63,105,170,280,92,150
39.3 km - 40.2 km,216,280,92,150,63,105,171,280,92,150
Over 40.2 km,217,280,92,150,63,105,172,280,92,150
